code,last,first,total_days,total_population,urban_population_per,surface,population_density,female/male,percentage_total_cases,00-19,20-39,40-59,60-79,>80,number_nans,High income,Low income,Lower middle income,Upper middle income
ABW,2020-05-11,2020-03-13,59.0,105845.0,43.411,180.0,588.0277777777778,1.1066196958840857,0.09542255184467853,24.83917824922869,24.317485950744466,30.564197423383003,17.986448211072474,2.29269016557138,0,1,0,0,0
AFG,2020-05-11,2020-02-25,76.0,37172386.0,25.495,652860.0,56.93776000980302,0.9468830946341805,0.011842123881959044,54.97029306362795,28.941989286043537,11.965846574473947,3.844717018113189,0.2771540577414065,0,0,1,0,0
AGO,2020-05-11,2020-03-22,50.0,30809762.0,65.514,1246700.0,24.713052057431618,1.021445995252288,0.00014605760343101645,57.40005004952635,27.314225489879263,11.69041203294296,3.3229217129353916,0.2723907147159995,0,0,0,1,0
ALB,2020-05-11,2020-03-09,63.0,2866376.0,60.319,27400.0,104.61226277372263,0.9632134122077226,0.03028214023561459,25.136982269422614,29.549790990553934,25.521324078979063,17.0508863656059,2.741016295438505,0,0,0,0,1
ARE,2020-05-11,2020-01-27,105.0,9630959.0,86.522,71020.0,135.6091101098282,0.4416843603450836,0.1889531457874548,21.924448924187953,51.873930372649625,23.76803054003134,2.302813229758921,0.13077693337216176,0,1,0,0,0
ARG,2020-05-11,2020-03-04,68.0,44494502.0,91.87,2736690.0,16.25851009796506,1.0507498398719548,0.012981379137584235,32.71148741028453,30.081305733994743,21.99467988243831,12.60135155595572,2.61117541732671,0,0,0,0,1
ARM,2020-05-11,2020-03-01,71.0,2951776.0,63.149,28470.0,103.68022479803302,1.1256963768241184,0.11223751395769868,26.541988759126006,31.712693881515186,24.53517749271453,14.086205118208124,3.12393474843614,0,0,0,0,1
ATG,2020-05-11,2020-03-15,57.0,96286.0,24.599,440.0,218.8318181818182,1.0741905603067576,0.025964314645950604,29.723581111567096,29.956642176750353,27.164843874115157,11.456304252842346,1.69862858472504,0,1,0,0,0
AUS,2020-05-11,2020-01-25,107.0,24982688.0,86.012,7692020.0,3.2491294874428305,1.008016896391609,0.027783239337576485,25.180099874037346,28.197272413392973,25.50590426617645,17.07308949978065,4.043633946612595,0,1,0,0,0
AUT,2020-05-11,2020-02-26,75.0,8840521.0,58.297,82522.99805,107.20692666757787,1.0337366443252545,0.17857544821170607,19.4178787920854,26.249182573155203,29.356596843380395,19.73936512195657,5.236976669422415,0,1,0,0,0
AZE,2020-05-11,2020-02-29,72.0,9939800.0,55.68,82670.0,120.26531994677634,1.0046406145537012,0.025342562224592042,29.946240321252855,34.094422909374565,25.413784606137774,9.185809766568749,1.3597423966660571,0,0,0,0,1
BDI,2020-05-11,2020-04-01,40.0,11175378.0,13.032,25680.0,435.1782710280374,1.0170232811662423,0.00017001662046688712,55.67140886249445,30.163978081761023,10.244499959566753,3.628318440698881,0.29179465547891104,0,0,1,0,0
BEL,2020-05-11,2020-02-04,97.0,11433256.0,98.001,30280.0,377.21492734478204,1.0240178785127865,0.46426844636383546,22.569403663439,25.224534897446606,27.292633997425096,19.218589434686848,5.694838007002435,0,1,0,0,0
BEN,2020-05-11,2020-03-17,55.0,11485048.0,47.312,112760.0,101.85391982972685,1.0039359685373772,0.002777524308126531,53.11333577877865,28.602359913374155,13.27248678508131,4.575252389181301,0.436565133584609,0,0,1,0,0
BFA,2020-05-11,2020-03-11,61.0,19751535.0,29.358,273600.0,72.19128289473684,1.0038266563916391,0.003802236130002048,55.8876048245347,28.245497161810924,11.989111607028216,3.63245964669518,0.2453267599309725,0,0,1,0,0
BGD,2020-05-11,2020-03-09,63.0,161356039.0,36.632,130170.0,1239.5793116693555,0.975788563295229,0.009083638945797374,37.41794817781391,34.22515589438089,20.801727955741953,6.5587591885950305,0.9964087834682034,0,0,0,1,0
